"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","TF"
"Bcl11B",1.25341572509397,3.7176501017143,0.780686288455023,0.450499468344531,0.998876309054655,-4.59568732956977,"90"
"Atf3",1.46241234356864,4.05048549038285,0.778591140447593,0.451685800720715,0.998876309054655,-4.59569221000179,"89"
"Stat6",1.16003942476273,3.08364012286691,0.7771851621243,0.452483026462987,0.998876309054655,-4.59569547917709,"21"
"NR5A1",1.46127276315747,4.98374707447274,0.766035360626498,0.458837069550152,0.998876309054655,-4.59572123596897,"144"
"Ptf1a",1.28999258709333,3.02021890453875,0.765739529419842,0.459006426068412,0.998876309054655,-4.59572191526436,"76"
"Nfat5",1.01483015871382,2.69302454969739,0.765429281769978,0.459184078273828,0.998876309054655,-4.59572262743503,"120"
"Ascl2",2.04319388556746,7.17850236905822,0.736851901409203,0.475734206822265,0.998876309054655,-4.59578721686918,"47"
"Zfx",4.04857976476078,17.5310151234688,0.721975066616765,0.48449484971568,0.998876309054655,-4.59582004078595,"15"
"Foxf1",1.06901462986731,2.9378162119391,0.721465468667505,0.484796686897542,0.998876309054655,-4.59582115533311,"71"
"Neurod2",1.74509279316434,5.070136140591,0.712068881841946,0.490382969174489,0.998876309054655,-4.59584158939326,"126"
"Tcf21",1.35488047805765,4.04461225196013,0.709978921092567,0.491630765389641,0.998876309054655,-4.59584610392626,"49"
"Atoh1",1.86766866230593,5.77742774788487,0.706385492641629,0.493780702990362,0.998876309054655,-4.59585384018705,"136"
"Foxj3",0.904026358610597,2.42935495914553,0.70541920396282,0.494359801709047,0.998876309054655,-4.59585591490029,"52"
"Neurod2",1.93173255409883,7.54413331407033,0.697928865505259,0.498862705036408,0.998876309054655,-4.59587191659313,"94"
"Plagl1",3.09402588730755,13.8519497524719,0.686186621390786,0.505971153646402,0.998876309054655,-4.59589671223967,"74"
"Nr2f6",1.09188881377843,3.57915233366036,0.679738733111836,0.509900092622427,0.998876309054655,-4.59591017671462,"38"
"Nfatc1",0.912841075217835,2.45697293169892,0.675355870349235,0.512581028308562,0.998876309054655,-4.59591926743654,"122"
"Olig2",1.96616327617049,8.10901574714448,0.661509442344995,0.521105131981717,0.998876309054655,-4.59594765769062,"98"
"Hmx3",0.727530214561694,1.11523496036055,0.651155090044411,0.527533141351894,0.998876309054655,-4.59596855872139,"66"
"Twist2",1.94574578464343,8.01166471579835,0.645790287771401,0.530881564974387,0.998876309054655,-4.59597927641916,"123"
"Tcf12",1.45906665072066,5.50596959847514,0.643569645343825,0.532271139062291,0.998876309054655,-4.59598369040009,"119"
"Ptf1A",1.42426018343699,5.70122516292508,0.620622876187298,0.546751490438378,0.998876309054655,-4.59602852930424,"77"
"Bhlha15",1.40954655599136,5.52715089127932,0.61871374859106,0.547966125277087,0.998876309054655,-4.5960321959543,"137"
"Lhx4",0.760597343667803,2.18237362768326,0.602633946433815,0.558256129168156,0.998876309054655,-4.59606268584377,"40"
"Jun",1.14777416996408,3.71360546821025,0.601023105474864,0.559292800660955,0.998876309054655,-4.59606570139464,"115"
"Foxo3",1.01350632971779,3.81413397722982,0.585938289411327,0.569051869115092,0.998876309054655,-4.59609359483248,"111"
"Nfe2l2",1.13522528391713,3.98320022980336,0.58449053682177,0.569993315442408,0.998876309054655,-4.59609623888636,"22"
"Lef1",0.867308537495565,3.17818408520048,0.568997356284448,0.580120622785035,0.998876309054655,-4.59612417010585,"131"
