"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","TF"
"Stat5b",0.581515488442449,4.4409274074298,0.330752002211932,0.746250756139478,0.997170952052077,-4.59658794471326,"Stat5b"
"Six3",-0.411872257242399,1.48694704583212,-0.328760728487927,0.747720080983953,0.997170952052077,-4.59659025673264,"Six3"
"Mafg",0.611409125582607,4.59176661580256,0.326786070877802,0.749178161824258,0.997170952052077,-4.59659253613781,"Mafg"
"Yy1",0.979313447075288,8.24369677208109,0.325936016058647,0.749806149989024,0.997170952052077,-4.59659351329443,"Yy1"
"Ptf1A",0.724619695181647,5.70122516292508,0.325273533013385,0.750295696401963,0.997170952052077,-4.59659427312718,"Ptf1A"
"Pax7",-0.454417082894604,2.26153920132069,-0.324528537871252,0.750846350563032,0.997170952052077,-4.59659512581128,"Pax7"
"Dmbx1",0.421405979526963,3.00636197017323,0.315213598934373,0.757743312132647,0.997170952052077,-4.59660562746889,"Dmbx1"
"Twist2",0.9054707460021,8.01166471579835,0.308246845915565,0.762915857109134,0.997170952052077,-4.59661328807015,"Twist2"
"Gli2",0.923537741018403,8.59338207756251,0.304698067066846,0.765555282232146,0.997170952052077,-4.59661712643148,"Gli2"
"Bcl11B",0.469866053461259,3.7176501017143,0.300897325008565,0.768385498298774,0.997170952052077,-4.59662118945086,"Bcl11B"
"Gfi1B",0.740998332230233,6.78469999030423,0.297196122297118,0.771144927854528,0.997170952052077,-4.59662509843265,"Gfi1B"
"Rhox11",-0.497530477171149,3.30982980588141,-0.295666136245152,0.772286560917522,0.997170952052077,-4.59662670056842,"Rhox11"
